region,pop2019,zone
Luxembourg,613894,Europe
Madagascar,26969306,Africa
Malawi,18628749,Africa
Malaysia,31949789,Asia
Maldives,530957,Asia
Mali,19658023,Africa
Malta,493559,Europe
Marshall Islands,58791,Oceania
Mauritania,4525698,Africa
Mauritius,1269670,Africa
Mexico,127575529,America
Moldova,4043258,Europe
Monaco,33085,Europe
Mongolia,3225166,Asia
Montenegro,622182,Europe
Montserrat,4991,America
Morocco,36471766,Africa
Mozambique,30366043,Africa
Myanmar,54045422,Asia
Namibia,2494524,Africa
Nepal,28608715,Asia
Netherlands,17282163,Europe
New Caledonia,282757,Oceania
New Zealand,4783062,Oceania
Nicaragua,6545503,America
Niger,23310719,Africa
Nigeria,200963603,Africa
Northern Mariana Islands,57213,Oceania
North Macedonia,2077132,Europe
Macedonia,2077132,Europe
Norway,5328212,Europe
Oman,4974992,Asia
Pakistan,216565317,Asia
Palestine,4981422,Asia
Panama,4246440,America
Papua New Guinea,8776119,Oceania
Paraguay,7044639,America
Peru,32510462,America
Philippines,108116622,Asia
Poland,37972812,Europe
Portugal,10276617,Europe
Puerto Rico,2933404,America
Qatar,2832071,Asia
Romania,19414458,Europe
Russia,145872260,Europe
Rwanda,12626938,Africa
Saint Kitts and Nevis,52834,America
Saint Lucia,182795,America
Saint Vincent and the Grenadines,110593,America
San Marino,34453,Europe
Sao Tome and Principe,215048,Africa
Saudi Arabia,34268529,Asia
Senegal,16296362,Africa
Serbia,6963764,Europe
Seychelles,97741,Africa
Sierra Leone,7813207,Africa
Singapore,5804343,Asia
Sint Maarten,42389,America
Slovakia,5450421,Europe
Slovenia,2080908,Europe
Solomon Islands,669821,Oceania
Somalia,15442906,Africa
South Africa,58558267,Africa
South Korea,51225321,Asia
S. Korea,51225321,Asia
South Sudan,11062114,Africa
Spain,46937060,Europe
Sri Lanka,21323734,Asia
Sudan,42813237,Africa
Suriname,581363,America
Sweden,10230185,Europe
Switzerland,8544527,Europe
Syria,17070132,Asia
Syrian Arab Republic,17070132,Asia
Taiwan,23773881,Asia
Tajikistan,9321023,Asia
Thailand,69625581,Asia
Timor-Leste,1293120,Asia
Togo,8082359,Africa
Trinidad and Tobago,1394969,America
Tunisia,11694721,Africa
Turkey,82003882,Europe
Turks and Caicos islands,38194,America
Uganda,44269587,Africa
Ukraine,43993643,Europe
United Arab Emirates,9770526,Asia
UAE,9770526,Asia
United Kingdom,66647112,Europe
UK,66647112,Europe
Tanzania,58005461,Africa
United States of America,329064917,America
USA,329064917,America
United States Virgin Islands,104579,America
Uruguay,3461731,America
Uzbekistan,32981715,Asia
Vanuatu,299882,Oceania
Venezuela,28515829,America
Vietnam,96462108,Asia
Wallis and Futuna,,Oceania
Western Sahara,582458,Africa
Yemen,29161922,Asia
Zambia,17861034,Africa
Zimbabwe,14645473,Africa
